yr,mo,mag
1981,10,1
1981,10,2
1981,10,0
1981,10,1
1981,10,1
1981,10,2
1981,10,0
1981,10,1
1981,10,2
1981,10,2
1981,11,0
1981,11,0
1981,11,1
1981,11,1
1981,11,1
1981,11,1
1981,11,1
1981,12,2
1982,1,1
1982,1,1
1982,1,1
1982,1,2
1982,1,2
1982,1,2
1982,1,2
1982,1,0
1982,1,1
1982,1,3
1982,1,1
1982,1,1
1982,1,0
1982,1,1
1982,1,0
1982,1,2
1982,1,1
1982,1,2
1982,2,2
1982,2,2
1982,2,1
1982,3,0
1982,3,1
1982,3,1
1982,3,1
1982,3,2
1982,3,1
1982,3,1
1982,3,1
1982,3,1
1982,3,2
1982,3,3
1982,3,1
1982,3,0
1982,3,1
1982,3,2
1982,3,2
1982,3,2
1982,3,3
1982,3,3
1982,3,3
1982,3,3
1982,3,0
1982,3,1
1982,3,2
1982,3,3
1982,3,1
1982,3,1
1982,3,1
1982,3,1
1982,3,2
1982,3,2
1982,3,2
1982,3,2
1982,3,2
1982,3,3
1982,3,1
1982,3,2
1982,3,0
1982,3,0
1982,3,2
1982,3,2
1982,3,2
1982,3,0
1982,3,4
1982,3,1
1982,3,0
1982,3,2
1982,3,2
1982,3,1
1982,3,1
1982,3,0
1982,3,1
1982,3,1
1982,3,2
1982,3,0
1982,3,1
1982,3,2
1982,3,1
1982,3,1
1982,3,2
1982,4,0
1982,4,1
1982,4,1
1982,4,1
1982,4,2
1982,4,2
1982,4,2
1982,4,2
1982,4,3
1982,4,3
1982,4,3
1982,4,3
1982,4,4
1982,4,1
1982,4,0
1982,4,1
1982,4,1
1982,4,3
1982,4,1
1982,4,1
1982,4,1
1982,4,0
1982,4,0
1982,4,0
1982,4,1
1982,4,1
1982,4,1
1982,4,1
1982,4,1
1982,4,1
1982,4,1
1982,4,1
1982,4,1
1982,4,4
1982,4,3
1982,4,0
1982,4,1
1982,4,2
1982,4,2
1982,4,2
1982,4,2
1982,4,3
1982,4,3
1982,4,5
1982,4,0
1982,4,2
1982,4,3
1982,4,1
1982,4,1
1982,4,2
1982,4,2
1982,4,2
1982,4,3
1982,4,3
1982,4,4
1982,4,1
1982,4,0
1982,4,1
1982,4,1
1982,4,2
1982,4,1
1982,4,2
1982,4,1
1982,4,1
1982,4,1
1982,4,2
1982,4,1
1982,4,1
1982,4,2
1982,4,1
1982,4,2
1982,4,0
1982,4,0
1982,4,0
1982,4,1
1982,4,0
1982,4,0
1982,4,0
1982,4,0
1982,4,2
1982,4,0
1982,4,2
1982,4,0
1982,4,1
1982,4,1
1982,4,0
1982,4,1
1982,4,2
1982,4,2
1982,4,2
1982,4,0
1982,4,0
1982,4,0
1982,4,0
1982,4,0
1982,4,1
1982,4,1
1982,4,2
1982,4,2
1982,4,1
1982,4,0
1982,4,0
1982,4,0
1982,4,0
1982,4,1
1982,4,1
1982,4,2
1982,4,2
1982,4,1
1982,4,1
1982,4,1
1982,4,1
1982,4,2
1982,4,2
1982,4,1
1982,4,1
1982,4,0
1982,4,1
1982,4,1
1982,4,3
1982,4,0
1982,4,0
1982,4,1
1982,4,1
1982,4,2
1982,4,2
1982,4,3
1982,4,1
1982,4,0
1982,4,2
1982,4,3
1982,4,3
1982,4,3
1982,4,2
1982,4,0
1982,4,1
1982,4,1
1982,4,1
1982,4,1
1982,4,2
1982,4,1
1982,4,3
1982,4,0
1982,4,1
1982,4,2
1982,4,2
1982,4,1
1982,4,1
1982,4,1
1982,4,1
1982,5,0
1982,5,1
1982,5,1
1982,5,1
1982,5,0
1982,5,1
1982,5,0
1982,5,0
1982,5,0
1982,5,0
1982,5,0
1982,5,0
1982,5,1
1982,5,1
1982,5,1
1982,5,1
1982,5,1
1982,5,2
1982,5,2
1982,5,1
1982,5,2
1982,5,3
1982,5,3
1982,5,0
1982,5,2
1982,5,0
1982,5,0
1982,5,0
1982,5,0
1982,5,0
1982,5,1
1982,5,3
1982,5,0
1982,5,3
1982,5,1
1982,5,2
1982,5,2
1982,5,1
1982,5,0
1982,5,0
1982,5,0
1982,5,1
1982,5,0
1982,5,0
1982,5,0
1982,5,0
1982,5,0
1982,5,0
1982,5,0
1982,5,0
1982,5,0
1982,5,0
1982,5,1
1982,5,1
1982,5,1
1982,5,2
1982,5,2
1982,5,3
1982,5,3
1982,5,3
1982,5,0
1982,5,0
1982,5,0
1982,5,0
1982,5,0
1982,5,0
1982,5,0
1982,5,1
1982,5,1
1982,5,1
1982,5,1
1982,5,1
1982,5,3
1982,5,0
1982,5,0
1982,5,0
1982,5,0
1982,5,0
1982,5,0
1982,5,0
1982,5,1
1982,5,1
1982,5,1
1982,5,1
1982,5,1
1982,5,1
1982,5,1
1982,5,1
1982,5,1
1982,5,1
1982,5,1
1982,5,1
1982,5,1
1982,5,1
1982,5,1
1982,5,1
1982,5,1
1982,5,1
1982,5,1
1982,5,2
1982,5,2
1982,5,2
1982,5,2
1982,5,2
1982,5,2
1982,5,2
1982,5,3
1982,5,3
1982,5,0
1982,5,1
1982,5,1
1982,5,1
1982,5,1
1982,5,1
1982,5,1
